Artikel,Noun,Plural (die),Englisch
der,Blumenstrauß,Blumensträuße,Bouquet
der,Babysitter,-,Baby sitter
der,Job,Jobs,Job
der,Sportlehrer,-,Sports teacher
der,Kunde,Kunden,Customer (m)
der,Schluss,Schlüsse,"Conclusion, End"
der,Kurs,Kurse,Course
der,Garten,Gärten,Garden
der,Schuh,Schuhe,Shoe
der,Handschuh,Handschuhe,Hand glove
der,Gürtel,Gürtel,Belt
der,Anzug,Anzüge,Suit
der,Mantel,Mäntel,Winter Jacket
der,Pulli,Pullis,Pullover
der,Stiefel,Stiefel,Boots
der,Schal,Schals,"Shawl, Scarf"
der,Schmuck,-,Jewellery
der,Laden,Läden,"Shop, Store"
der,Shop,Shops,Shop
der,Verkäufer,Verkäufer,"Seller, Vendor (m)"
der,Katalog,Kataloge,Catalog
der,Verkäuferin,Verkäuferinen,"Seller, Vendor (f)"
der,Rock,Röcke,Skirt
der,Stock,Stockwerke,Floor
der,Fotoapparat,Fotoapparate,Camera
der,Ball,Bälle,Ball
der,Lippenstift,Lippenstifte,Lipstick
der,Kugelschreiber,-,Pencil
der,Trend,Trends,Trend
der,Blick,Blicke,"Glimpse, Sight"
der,Designer,-,Designer
der,Künstler,-,"Artist, Performer"
der,Mund,Munds,Mouth
der,Finger,Finger,Finger
der,Kopf,Köpfe,Head
der,Bauch,Bäuche,"Stomach, Belly"
der,Fuß,Füße,Foot
der,Rücken,-,back
der,Husten,-,Cold
der,Schnupfen,-,Cold (runny nose)
der,Hustensaft,Hustensäfte,Cough syrup
der,Tropfen,Tropfen,Drop
der,Verband,Verbände,Bandage
der,Unfall,Unfälle,Accident
der,Arm,Arme,Arm
der,Krankenpfleger,-,Nurse (m)
der,Arzthelfer,-,Doctor's assistant (m)
der,Physiotherapeut,Physiotherapeuten,Physiotherapist (m)
der,Apotheker,-,Pharmacist (m)
der,Allgemeinarzt,Allgemeinärzte,General Practitionar (Dr)
der,Notarzt,-,Emergency Doctor
der,Frauenarzt,-,Gynacologist
der,Zahnarzt,-,Dentist
der,Augenarzt,-,Eye Doctor
der,Urlaubsort,Urlaubsorte,Vacation resort
der,Koffer,-,Suitcase
der,Rucksack,Rucksäcke,Backpack
der,Badeanzug,Badeanzüge,Swimsuit
der,Bikini,Bikinis,Bikini
der,Helm,Helms,Helmet
der,Schlafsack,Schlafsäcke,Sleeping bag
der,Spaziergang,Spaziergänge,Walk
der,Stadtplan,Stadtpläne,City map
der,Berg,Berge,Mountain
der,Sonnenschein,-,Sun shine
der,Ärger,-,Anger
der,Meister,Meister,Master
der,Jäger,Jäger,Hunter
der,Himmel,Himmel,Sky
der,Stern,Sterne,Star
der,Wind,Winde,Wind
der,Schnee,-,Snow
der,Mond,Monde,Moon
der,Korkenzieher,Korkenzieher,Corkscrew (wine bottle opener)
der,Monat,Monate,Month
der,Rat,Räte,Advice
der,Abend,Abende,Evening
der,Morgen,Morgen,"Tomorrow, Morning"
der,Lautsprecher,Lautsprecher,Loud speaker
der,Rabatt,Rabatte,Discount
der,Absender,Absender,Sender
der,Empfänger,Empfänger,Receiver
der,Abfahrtsort,Abfahrtsorte,Destination
der,Reiseführer,Reiseführer,Tour Guide
der,Eintritt,Eintritte,Entry
der,Betreff,Betreffe,Subject
der,Landwirt,Landwirt,Farmer
der,Wirt,Wirte,"Host, Landlord"
der,Ausländer,Ausländer,Foreigner
der,Sitzplatz,Sitzplätze,Seat
der,Platz,Plätze,"Place, Space"
der,Schlüssel,Schlüssel,Key
der,Schalter,Schalter,Ticket Counter
der,Kiosk,Kioske,Kiosk
der,Schirm,Schirme,Umbrella
der,Makler,Makler,Broker
der,Textbaustein,Textbausteine,Text block
der,Tagesablauf,Tagesabläufe,Daily Routine
der,Meinung,Meinungen,Opinion
der,Ausgang,Ausgänge,Exit
der,Ausweis,Ausweise,ID Card
der,Aufzug,Aufzüge,Lift
der,Durst,-,Thirst
der,Hunger,-,Hunger
der,Bleistift,Bleistifte,Pencil
der,Kuli,Kulis,Pen
der,Stift,Stifte,Pen
der,Block,Block,Block
der,Radiergummi,Radiergummis,Eraser
der,Frosch,Frösche,Frog
der,Angehörige,Angehörigen,Relatives
der ,Nachname,Nachnamen,Last name
die,Telefonnummer,Telefonnummern,Telephone number
die,Hausnummer,Hausnummern,House number
die,E-Mail-Adresse,E-Mail-Adressen,Email address
die,Webseite,Webseiten,Website
die,Straße,Straßen,Street
die,Postleitzahl,Postleitzahlen,Postal code
die,Stadt,Städte,City
die,Schweiz,-,Swiss
die,Sprache,Sprachen,Language
die,Freizeit,-,Leisure time
die,Lieblingsmusik,-,favorite music
die,Musik,-,music
die,Frau,Frauen,Woman
die,Freund,Freunde,Friend (m)
die,Freundin,Freundinen,Friend (f)
die,Kollegin,Kolleginen,Collegue (f)
die,-,Leute,Folks
die,Partnerin,Partnerinen,Partner (f)
die,Person,Personen,Person
die,Architektin,Architektinen,Architecht (f)
die,Ärztin,Ärztinen,Doctor (f)
die,Boxerin,Boxerinen,Boxer (f)
die,Firma,Firmen,Company
die,Ingeniuerin,Ingeniuerinen,Engineer (f)
die,Köchin,Köchinen,Cook (f)
die,Professorin,Professorinen,Professor (f)
die,Studentin,Studentinen,Student (f)
die,Technikerin,Technikerinen,Technician (f)
die,Woche,Wochen,Week
die,Fahrkarte,Fahrkarten,Travel ticket
die,S-Bahn,S-Bahnen,Suburban Railways
die,U-Bahn,U-Bahnen,Underground Railways
die,Straßenbahn,Straßenbahnen,Tram
die,Kirche,Kirchen,Church
die,Banane,Bananen,Banana
die,Birne,Birnen,Pear
die,Kiwi,Kiwis,Kiwi
die,Orange,Orangen,Orange
die,Nudel,Nudeln,Noodles
die,Gurke,Gurken,Cucumber
die,Kartoffel,Kartoffeln,Potato
die,Tomate,Tomaten,Tomato
die,Zwiebel,Zwiebeln,Onion
die,Salami,Salamis,Salami
die,Wurst,Würste,Sausage
die,Butter,-,Butter
die,Sahne,-,Cream
die,Bäckerei,Bäckereien,Backery
die,Metzgerei,Metzgereien,Meat shop
die,Flasche,Flaschen,Bottle
die,Packung,Packungen,Package
die,Tüte,Tüten,Bag
die,Cola,Colas,Cola
die,Milch,-,Milk
die,Suppe,Suppen,Soup
die,Pizza,Pizzas,Pizza
die,-,Pommes frites,Finger chips
die,Einladung,Einladungen,Invitation
die,Schokolade,Schokoladen,Chocolate
die,Marmelade,Marmeladen,Jam
die,Schule,Schulen,School
die,Ehefrau,Ehefrauen,Wife
die,-,Eltern,Parents
die,Familie,Familien,Family
die,-,Geschwister,Siblings
die,Großmutter,Großmütter,Grand mother
die,Oma,Omas,Grandma
die,-,Großeltern,Grand parents
die,Tochter,Töchter,Daughter
die,Mutter,Mütter,Mother
die,Verwandte,Verwandten,Relative (f)
die,Homepage,Homepages,Home page
die,Party,Partys,Party
die,Speisekarte,Speisekarten,Menu card
die,Messer,-,Knife
die,Gabel,Gabeln,Fork
die,Kellnerin,-,Waiter (f)
die,Rechnung,Rechnungen,Bill
die,Serviette,Servietten,Napkin
die,Apfelsaftschorle,Apfelsaftschorlen,Apple soda
die,Limonade,Limonaden,Lemonade
die,Kneipe,Kneipen,Pub
die,Strandbar,Strandbars,Beach bar
die,Idee,Ideen,Idea
die,Anmeldung,Anmeldungen,Registration
die,Kanne,Kannen,Jug
die,Trainerin,Trainerinen,Trainer (f)
die,Abteilung,Abteilungen,Department
die,Leiterin,Leiterinen,Manager (f)
die,Mitarbeiterin,Mitarbeiterinen,"Co-worker, Employee (f)"
die,Toilette,Toiletten,Toilet
die,Taste,Tasten,"Key, Button"
die,Kaffeemaschine,Kaffeemaschinen,Coffee machine
die,Werkstatt,Werkstätten,Workshop
die,Personalabteilung,Personalabteilungen,HR Dept
die,Präsentation,Präsentationen,Presentation
die,Muttersprache,Muttersprachen,Mother tongue
die,Vermittlung,Vermittlungen,Mediation
die,Anrede,Anreden,"Salutation, Address, Title"
die,Unterschrift,Unterschriften,Signature
die,Frabe,Farben,Colour
die,Nachbarin,Nachbarinnen,Neighbour (f)
die,-,Möbel,Furniture
die,Treppe,Treppen,"Steps, Stairs"
die,Anzeige,Anzeigen,Advertisement
die,Größe,Größen,Size
die,Lampe,Lampen,Light
die,Waschmachine,Waschmachinen,Washing machine
die,Spülmachine,Spülmachinen,Dish Washer
die,Wohnung,Wohnungen,"Flat, Apartment"
die,Miete,Mieten,Rent
die,Tasse,Tassen,Cup
die,Tür,Türe,Door
die,Tasche,Taschen,Bag
die,Küche,Küchen,Kitchen
die,Blume,Blumen,Flower
die,Krankenschwester,Krankenschwestern,Nurse (f)
die,Sekretärin,Sekretärinen,Secretary (f)
die,Kundin,Kundinen,Customer (f)
die,Pause,Pausen,Break
die,Tätigkeit,Tätigkeiten,"Activity, Occupation"
die,Bezahlung,-,"Pay, Payment"
die,Arbeitswelt,Arbeitswelten,Work place
die,Anforderung,Anforderungen,"Demand, Requirement"
die,Aufgabe,Aufgaben,"Task, Assignment"
die,Spezialität,Spezialitäten,Speciality
die,Grenze,Grenzen,Border
die,Praxis,Praxen,Doctor's office
die,Baustelle,Baustellen,Construction site
die,Prüfung,Prüfungen,Exam
die,Socke,Socken,Socks
die,Kleidung,,Clothing
die,Mode,Moden,Fashion
die,Hose,Hosen,Pant
die,Jacke,Jacken,Jacket
die,Jeans,-,Jeans
die,Uhr,Uhren,"Watch, Clock"
die,Post,-,Post
die,Umkleidekabine,Umkleidekabinen,changing/fitting room
die,Bluse,Blusen,Blouse
die,Freizeitkleidung,-,Leisure wear
die,Damenmode,-,Women Fashion
die,Herrenmode,-,Men Fashion
die,-,Schreibwaren,Stationary
die,Batterie,Batterien,Battery
die,Kosmetik,-,Cosmetics
die,Zeitschrift,Zeitschriften,Magazine
die,Szene,-,Scene
die,Haar,Haare,Hair
die,Nase,Nasen,Nose
die,Zunge,Zungen,Tongue
die,-,Schmerzen,"ache, pain"
die,Erkältung,,Cold
die,Spritze,Spritzen,Syringe
die,Salbe,Salben,Ointment
die,Tablette,Tabletten,"Tablet, Pill"
die,Kontrolle,Kontrollen,"scrutiny, Surveillance"
die,Burst,Bursts,Cheast
die,Crème,Cremes,Cream
die,Siefe,Siefen,Soap
die,Arzthelferin,Arzthelferinen,Doctor's assistant (f)
die,Physiotherapeutin,Physiotherapeutinen,Physiotherapist (f)
die,Apothekerin,Apothekerinen,Pharmacist (f)
die,Fahrradtour,Fahrradtouren,Bicycle tour
die,Jugendherberge,Jugendherbergen,Youth Hostel
die,Reise,Reisen,Travel
die,Handtasche,-,Hand Bag
die,Badehose,Badehosen,bathing trunks
die,Sandale,Sandalen,Sandals
die,Sonnenbrille,Sonnenbrillen,Sun glass
die,Sonnencreme,Sonnencremes,Sun cream
die,Stadtführung,Stadtführungen,City tour
die,Haltestelle,Haltestellen,"Bus stop, station"
die,Landschaft,Landshaften,Landscape
die,Küste,Küsten,"Coast, Shore"
die,Sonne,-,Sun
die,Heizung,-,Heating
die,Lösung,Lösungen,Solution
die,Losung,Losungen,"Slogan, Password"
die,Kunst,Künsten,Art
die,Übung,Übungen,"Exercise, Practice"
die,Wolke,Wolken,Cloud
die,Stunde,Stunden,Hour
die,Zeit,Zeiten,Time
die,Zeitung,Zeitungen,Newspaper
die,Nachricht,Nachrichten,"News, Message"
die,Sekunde,Sekunden,Second
die,Minute,Minuten,Minute
die,Bestellung,Bestellungen,"Order, appointment"
die,Kasse,Kassen,Checkout counter
die,Zahlung,Zahlungen,Payment
die,Vorwahl,Vorwahlen,dialing code
die,Höhe,Höhen,Height
die,Agentur,Agenturen,Agency
die,Fabrik,Fabriken,Factory
die,Ecke,Ecken,Corner
die,Ankunft,Ankünfte,Arrival
die,Abfahrt,Abfahrten,Departure
die,Vorlesung,Vorlesungen,Lecture
die,Verabredung,Verabredungen,Appointment
die,Betonung,Betonungen,Emphasis
die,Wegbeschreibung,Wegbeschreibungen,Directions
die,Heimat,Heimaten,"native, homeland"
die,Filtertüte,Filtertüten,Filter bag
die,Autobahn,Autobahnen,Expressway
die,Verspätung,Verspätungen,Delay
die,Wirtschaft,Wirtschaften,"Economy, Pub"
die,Besprechung,Besprechungen,Meeting
die,Mahlzeit,Mahlzeiten,Meal
die,Hochzeit,Hochzeit,Wedding
die,Eröffnung,Eröffnungen,"Opening, Inauguration"
die,Lage,Lagen,"Location, Position"
die,Eingang,Eingänge,"Entry, Entrance"
die,Etage,Etagen,Floor
die,Stadtrundfahrt,Stadtrundfahrten,City tour
die,Bekannte,Bekannte,"Known people, relatives"
die,Geschichte,Geschichten,Story
die,Sehenswürdigkeit,Sehenswürdigkeiten,Tourist Spots
die,Besserung,Besserungen,Recovery
die,Veranstaltung,Veranstaltungen,Event
die,Zeichnung,Zeichnungen,"Drawing, Sketch"
die,Trage,Tragen,Stretcher
die,Zeitangabe,Zeitangaben,Date
die,Uhrzeit,Uhrzeiten,Time
die,Tafel,Tafeln,Board
die ,Handynummer,Handynummern,Mobile number
die ,Journalistin,Journalistinen,Journalist (f)
die ,Taxifahrerin,Taxifahrerinen,Taxi driver (f)
das,Land,Länder,Country
das,Café,Cafés,Coffee shop
das,Fußballstadion,Fußballstadien,Football stadium
das,Kino,Kinos,Cinema theater
das,Museum,Museen,Museum
das,Restaurant,Restaurants,Restaurant
das,Schwimmenbad,Schwimmenbäder,Swimming pool
das,Theater,-,Theater
das,Hobby,Hobbys,Hobby
das,Buch,Bücher,Book
das,Wochenende,Wochenenden,Weekend
das,Formular,Formulare,Form
das,Geburtsdatum,Geburtsdaten,Birth date
das,Fahrrad,Fahrräder,bicycle
das,Flugzeug,Flugzeuge,Aeroplane
das,Schiff,Schiffe,Ship
das,Ticket,Tickets,Ticket
das,Geshäft,Geshäfte,Shop
das,Hotel,Hotels,Hotel
das,Meer,Meere,Beach
das,Rathaus,Rathäuser,Town office
das,Event,Events,Event
das,Festival,Festivals,Festival
das,Konzart,Konzarte,Concert
das,Orchestrer,-,Orchestra
das,Salz,-,Salt
das,Öl,Öle,Oil
das,Brot,Brote,Bread
das,Brötchen,-,Breadrolls
das,Ei,Eier,Egg
das,Fleisch,-,Meat
das,Hähnchen,-,Poultry
das,Glas,Gläser,Glass
das,Kilogramm,-,Kilo gram
das,Gramm,-,gram
das,Bier,Biere,Beer
das,Wasser,-,Water
das,Essen,-,Food
das,Frühstück,-,Breakfast
das,Mittagessen,-,Lunch
das,Abendessen,-,Dinner
das,Müsli,Müslis,Cereal
das,Training,Trainings,Training
das,Baby,Babys,Baby
das,Kind,Kinder,Child
das,Mädchen,-,Girl
das,Motorrad,Motorräder,Motor bike
das,Datum,Daten,Data
das,Fest,Feste,Festival
das,Picknick,Picknicks,Picknick
das,Geschenk,Geschenke,Gift
das,Eis,-,Icecream
das,Trinkgeld,-,Tip
das,Kaffeehaus,Kaffeehäuser,Coffee house
das,Lokal,Lokale,Pub
das,Amt,Ämter,"Office, Department"
das,Material,Materialien,Material
das,Treffen,-,Meeting
das,Netzwerk,Netzwerke,Network
das,Zimmer,Zimmer,Room
das,Bad,Bäder,Bathroom
das,Gerät,Gerate,"Device, Appliance"
das,Hochhaus,Hochhäuser,sky scrapper
das,Reihenhaus,Reihenhäus,Row house
das,Tuch,Tücher ,"Scarf, Cloth"
das,Bett,Betten,Bed
das,Regal,Regale,"Shelf, Rack"
das,Fenster,Fenster,Window
das,Sofa,Sofas,Sofa
das,Projekt,Projekte,"Venture, Project"
das,Kaufhaus,Kaufhäuser,"Store, Mall"
das,Seminar,Seminare,Seminar
das,Studium,Studien,Study
das,Abitur,Abiture,High school diploma
das,Hemd,Hemden,Shirt
das,Kleid,Kleider,Dress
das,T-Shirt,T-Shirts,T-Shirt
das,Geschäft,Geschäfte,Shop
das,Paket,Pakete,"Parcel, Package"
das,Erdgeschoss,-,Ground Floor
das,Untergeschoss,-,Underground
das,Zubehör,-,Accessories
das,Fitnessgerät,Fitnessgeräte,Gym machine
das,Pärfum,Pärfume,Perfume
das,Souvenir,Souvenirs,Souvenir
das,Gesicht,Gesichter,Face
das,Auge,Augen,Eye
das,Ohr,Ohren,Ear
das,Experiment,Experimente,Experiment
das,Bein,Beine,Leg
das,Knie,Knie,Knee
das,Herz,Herzen,Heart
das,Fieber,-,Fever
das,Rezept,Rezepte,"Prescription, recipe"
das,Pflaster,-,Plaster
das,Shampoo,Shampoos,Shampoo
das,Reisebüro,Reisebüros,Travel Agency
das,Gepäck,-,Luggage
das,Zelt,Zelte,Tent
das,Wetter,-,Weather
das,Gewitter,Gewitter,Thunderstorm
das,Jahr,Jahre,Year
das,Radio,Radios,Radio
das,Angebot,Angeboten,Offer
das,Gewicht,Gewichte,Weight
das,Loft,Lofts,Studio apartment
das,Praktikum,Praktika,"Training, Internship"
das,Lebensmittel,Lebensmittel,Groceries
das,Gespräch,Gespräche,Conversation
das,Ausland,-,Foreign Countries
das,Heft,Hefte,Notebook
das,Übernachten,-,Overnight Stay
das,Fazit,Fazits,"Conclusion, bottomline"
das,Gericht,Gerichte,Dish
das,Paar,Paare,"Pair, Couple"
das,Gleis,Gleise,"platform, track"
das,Mitglied,Mitglieder,Member
das,Einzelzimmer,Einzelzimmer,1 bed room
das,Doppelzimmer,Doppelzimmer,Double bedroom
das,Konto,Konten,Account
das,Besteck,Bestecke,Cutlery
das,Röntgen,-,X-Ray
das,Blatt,Blätter,"Leaf, Page, Paper"
das,Reiseziel,Reiseziele,Travel Destination
das,Papier,Papiere,Paper
